,PROCESSO,ROTULO_MANUAL,LEI
566,03000351520148240045,BAN,artigo 42
567,03000351520148240045,BAN,artigo 558
568,03000351520148240045,BAN,artigo 21
569,03000351520148240045,BAN,artigo 20
570,03000351520148240045,BAN,artigo 1022
571,03000351520148240045,BAN,artigo 1022
572,03000351520148240045,BAN,8078/1990
573,03000351520148240045,BAN,artigo 514
574,03000351520148240045,BAN,artigo 2028
575,03000351520148240045,BAN,artigo 205
576,03000351520148240045,BAN,artigo 2
577,03000351520148240045,BAN,artigo 6
578,03000351520148240045,BAN,artigo 205
579,03000351520148240045,BAN,artigo 42
580,03000351520148240045,BAN,artigo 558
581,03000351520148240045,BAN,artigo 21
582,03000351520148240045,BAN,artigo 20
583,03000351520148240045,BAN,8078/1990
584,03000351520148240045,BAN,artigo 514
585,03000351520148240045,BAN,artigo 2028
586,03000351520148240045,BAN,artigo 205
587,03000351520148240045,BAN,artigo 2
588,03000351520148240045,BAN,artigo 6
589,03000351520148240045,BAN,artigo 205
590,03000351520148240045,BAN,artigo 42
591,03000351520148240045,BAN,artigo 558
592,03000351520148240045,BAN,artigo 21
593,03000351520148240045,BAN,artigo 20
594,03000351520148240045,BAN,artigo 1022
595,03000351520148240045,BAN,artigo 1022
596,03000351520148240045,BAN,8078/1990
597,03000351520148240045,BAN,artigo 514
598,03000351520148240045,BAN,artigo 2028
599,03000351520148240045,BAN,artigo 205
600,03000351520148240045,BAN,artigo 2
601,03000351520148240045,BAN,artigo 6
602,03000351520148240045,BAN,artigo 205
603,03000351520148240045,BAN,artigo 42
604,03000351520148240045,BAN,artigo 558
605,03000351520148240045,BAN,artigo 21
606,03000351520148240045,BAN,artigo 20
607,03000351520148240045,BAN,8078/1990
608,03000351520148240045,BAN,artigo 514
609,03000351520148240045,BAN,artigo 2028
610,03000351520148240045,BAN,artigo 205
611,03000351520148240045,BAN,artigo 2
612,03000351520148240045,BAN,artigo 6
613,03000351520148240045,BAN,artigo 205
614,03000351520148240045,BAN,artigo 42
615,03000351520148240045,BAN,artigo 558
616,03000351520148240045,BAN,artigo 21
617,03000351520148240045,BAN,artigo 20
618,03000351520148240045,BAN,artigo 1022
619,03000351520148240045,BAN,artigo 1022
620,03000351520148240045,BAN,8078/1990
621,03000351520148240045,BAN,artigo 514
622,03000351520148240045,BAN,artigo 2028
623,03000351520148240045,BAN,artigo 205
624,03000351520148240045,BAN,artigo 2
625,03000351520148240045,BAN,artigo 6
626,03000351520148240045,BAN,artigo 205
627,03000351520148240045,BAN,artigo 42
628,03000351520148240045,BAN,artigo 558
629,03000351520148240045,BAN,artigo 21
630,03000351520148240045,BAN,artigo 20
631,03000351520148240045,BAN,8078/1990
632,03000351520148240045,BAN,artigo 514
633,03000351520148240045,BAN,artigo 2028
634,03000351520148240045,BAN,artigo 205
635,03000351520148240045,BAN,artigo 2
636,03000351520148240045,BAN,artigo 6
637,03000351520148240045,BAN,artigo 205
638,03000351520148240045,BAN,artigo 42
639,03000351520148240045,BAN,artigo 558
640,03000351520148240045,BAN,artigo 21
641,03000351520148240045,BAN,artigo 20
642,03000351520148240045,BAN,artigo 1022
643,03000351520148240045,BAN,artigo 1022
644,03000351520148240045,BAN,8078/1990
645,03000351520148240045,BAN,artigo 514
646,03000351520148240045,BAN,artigo 2028
647,03000351520148240045,BAN,artigo 205
648,03000351520148240045,BAN,artigo 2
649,03000351520148240045,BAN,artigo 6
650,03000351520148240045,BAN,artigo 205
651,03000351520148240045,BAN,artigo 42
652,03000351520148240045,BAN,artigo 558
653,03000351520148240045,BAN,artigo 21
654,03000351520148240045,BAN,artigo 20
655,03000351520148240045,BAN,8078/1990
656,03000351520148240045,BAN,artigo 514
657,03000351520148240045,BAN,artigo 2028
658,03000351520148240045,BAN,artigo 205
659,03000351520148240045,BAN,artigo 2
660,03000351520148240045,BAN,artigo 6
661,03000351520148240045,BAN,artigo 205
662,03000351520148240045,BAN,artigo 42
663,03000351520148240045,BAN,artigo 558
664,03000351520148240045,BAN,artigo 21
665,03000351520148240045,BAN,artigo 20
666,03000351520148240045,BAN,artigo 1022
667,03000351520148240045,BAN,artigo 1022
668,05001940220118240005,CON,57/2002
669,05001940220118240005,CON,artigo 3
670,05001940220118240005,CON,artigo 21
671,05001940220118240005,CON,artigo 514
672,05001940220118240005,CON,artigo 1022
673,05001940220118240005,CON,57/2002
674,05001940220118240005,CON,artigo 3
675,05001940220118240005,CON,artigo 21
676,05001940220118240005,CON,artigo 514
677,05001940220118240005,CON,artigo 1022
678,05001940220118240005,CON,57/2002
679,05001940220118240005,CON,artigo 3
680,05001940220118240005,CON,artigo 21
681,05001940220118240005,CON,artigo 514
682,05001940220118240005,CON,artigo 1022
683,00054024620088240064,SFH,artigo 557
684,00054024620088240064,SFH,artigo 1021
685,00054024620088240064,SFH,artigo 535
686,00054024620088240064,SFH,artigo 1026
687,00054024620088240064,SFH,artigo 1022
688,00054024620088240064,SFH,artigo 557
